FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,d0,d1,Degradation,Evapotranspiration,g0,Growth,infil c,Infiltration,k et,k perc,r,Percolation,NDVI sim raw,NDVI sim,NDVI obs,Precipitation norm,precipitation,Soil Water,Vegetation Biomass
119,0,1,1,0.08,0.35,0.03239722042918418,0.0014071541484567919,0.01,0.01977693235173845,0.6,0.018193759818694935,0.05,0.15,0.5,0.042966742829746926,0.10662424558463564,0.103517841620696,0.101,0.04249557637434812,55.695,0.28644495219831284,0.09824953364739936
119,0,1,1,0.08,0.35,0.029020377679018355,0.0011143139880088156,0.01,0.01682520237190103,0.6,0.13839321707898178,0.05,0.15,0.5,0.03903972225582061,0.14845220742200385,0.10662424558463564,0.138,0.3118080179063031,388.866,0.26026481503880405,0.08562924556995363
119,0,1,1,0.08,0.35,0.02236240754513912,0.0013163203811257847,0.01,0.0183826938631448,0.6,0.06299309815696046,0.05,0.15,0.5,0.05377559938109346,0.12352932151441538,0.14845220742200385,0.171,0.16366196555082344,205.592,0.3585039958739564,0.07343407026283631
119,0,1,1,0.08,0.35,0.020958420860408774,0.0012724217813361838,0.01,0.017895226916106663,0.6,0.1275921881722796,0.05,0.15,0.5,0.05496077614030464,0.15064629010135766,0.12352932151441538,0.192,0.3356303402704592,418.337,0.3664051742686976,0.069454356580842
119,0,1,1,0.08,0.35,0.018375914788643855,0.0014531835921526134,0.01,0.01913561294362718,0.6,0.14589826245412033,0.05,0.15,0.5,0.06566462467790046,0.16583819762038976,0.15064629010135766,0.217,0.43249425847959866,538.169,0.4377641645193364,0.06639116263653988
119,0,1,1,0.08,0.35,0.016734624616248032,0.0017343207891581348,0.01,0.0209966609896903,0.6,0.0903922913213297,0.05,0.15,0.5,0.07748169280551055,0.1465741050322028,0.16583819762038976,0.179,0.31161886845656567,388.632,0.5165446187034037,0.0671508607915232
119,0,1,1,0.08,0.35,0.017517418442937888,0.00188430390542818,0.01,0.022160308394462404,0.6,0.019486141343021537,0.05,0.15,0.5,0.0791581344645097,0.10814390304166902,0.1465741050322028,0.136,0.06876633328232791,88.195,0.5277208964300647,0.07141289716496546
119,0,1,1,0.08,0.35,0.0202949080233833,0.001772725776672484,0.01,0.02177749343216372,0.6,0.002755572915395878,0.05,0.15,0.5,0.06992468991047225,0.09898206937390933,0.10814390304166902,0.112,0.008603066639127046,13.766,0.46616459940314836,0.07605578711648997
119,0,1,1,0.08,0.35,0.02256149805814617,0.0015400003039600138,0.01,0.020260452935443467,0.6,0.009995605934453965,0.05,0.15,0.5,0.05958341349470992,0.10217586038823528,0.09898206937390933,0.098,0.027637644598176532,37.314,0.3972227566313995,0.07753837252527039
119,0,1,1,0.08,0.35,0.023238310142634087,0.0013019629486385742,0.01,0.01832065877513659,0.6,0.03936759825660109,0.05,0.15,0.5,0.05191424231507753,0.11357809136918648,0.10217586038823528,0.02,0.1003397414308107,127.255,0.34609494876718355,0.0752373274025677
